timestamp,symbol,structure,call_ff,put_ff,combined_ff,spot_price,front_dte,back_dte,front_expiry,back_expiry,atm_strike,call_strike,put_strike,call_delta,put_delta,call_front_iv,call_back_iv,call_fwd_iv,put_front_iv,put_back_iv,put_fwd_iv,earnings_conflict,earnings_date,liquidity_rating,liquidity_value,iv_source_call_front,iv_source_call_back,iv_source_put_front,iv_source_put_back,earnings_source
2025-10-20T03:15:23.413268+00:00,ABT,atm-call,0.258206,0.258206,0.258206,128.50,33,61,2025-11-21,2025-12-19,128.00,,,,,0.242721,0.221253,0.19291,0.242721,0.221253,0.19291,,2025-10-15,3,,xearn,xearn,xearn,xearn,cache
2025-10-20T03:15:23.413268+00:00,ABT,atm-call,0.159075,0.159075,0.159075,128.50,33,89,2025-11-21,2026-01-16,128.00,,,,,0.242721,0.222343,0.209409,0.242721,0.222343,0.209409,,2025-10-15,3,,xearn,xearn,xearn,xearn,cache
