timestamp,symbol,structure,spot_price,front_dte,back_dte,front_expiry,back_expiry,atm_strike,call_strike,put_strike,call_delta,put_delta,front_iv,back_iv,fwd_iv,ff,call_ff,put_ff,combined_ff,earnings_date,earnings_conflict,liquidity_rating,liquidity_value,iv_source_front,iv_source_back
2025-10-19T20:27:01.687996Z,/GC,double-put,4213.30,30,65,2025-11-18,2025-12-23,,,4145.00,,-0.3504,0.288844,0.243057,0.195452,,,0.477823,0.477823,,no,2,,greeks,greeks
2025-10-19T20:27:01.687996Z,/GC,double-call,4213.30,30,65,2025-11-18,2025-12-23,,4425.00,,0.3494,,0.284298,0.253939,0.224674,,0.265378,,0.265378,,no,2,,greeks,greeks
