timestamp,symbol,structure,spot_price,front_dte,back_dte,front_expiry,back_expiry,atm_strike,atm_delta,atm_ff,atm_iv_front,atm_iv_back,atm_fwd_iv,atm_iv_source_front,atm_iv_source_back,call_strike,put_strike,call_delta,put_delta,call_ff,put_ff,min_ff,combined_ff,call_front_iv,call_back_iv,call_fwd_iv,put_front_iv,put_back_iv,put_fwd_iv,iv_source_call_front,iv_source_call_back,iv_source_put_front,iv_source_put_back,earnings_conflict,earnings_date,avg_options_volume_20d,earnings_source,skip_reason
2025-10-20T07:54:25.427365+00:00,CFG,atm-call,49.37,60,88,2025-12-19,2026-01-16,50.00,0.4872,0.323303,0.315987,0.293633,0.238787,greeks,greeks,,,,,,,,,0.314122,0.295741,,0.317852,0.291526,,greeks,greeks,greeks,greeks,,2025-10-15,1489.14,cache,
2025-10-20T07:54:25.427365+00:00,KEY,atm-call,16.96,32,60,2025-11-21,2025-12-19,17.00,0.5152,0.263589,0.359281,0.326453,0.284333,greeks,greeks,,,,,,,,,0.377217,0.318444,,0.341344,0.334463,,greeks,greeks,greeks,greeks,,2025-10-16,3880.11,cache,
2025-10-20T07:54:25.427365+00:00,KEY,atm-call,16.96,32,88,2025-11-21,2026-01-16,17.00,0.5152,0.256681,0.359281,0.314569,0.285896,greeks,greeks,,,,,,,,,0.377217,0.312347,,0.341344,0.31679,,greeks,greeks,greeks,greeks,,2025-10-16,3880.11,cache,
2025-10-20T07:54:25.427365+00:00,CFG,atm-call,49.37,32,88,2025-11-21,2026-01-16,50.00,0.4702,0.24561,0.333807,0.293633,0.267987,greeks,greeks,,,,,,,,,0.327094,0.295741,,0.34052,0.291526,,greeks,greeks,greeks,greeks,,2025-10-15,1489.14,cache,
2025-10-20T07:54:25.427365+00:00,SNA,atm-call,339.75,60,88,2025-12-19,2026-01-16,340.00,0.5146,0.239946,0.210492,0.19844,0.169759,greeks,greeks,,,,,,,,,0.215209,0.212281,,0.205774,0.184599,,greeks,greeks,greeks,greeks,,2025-10-16,42.87,cache,
