timestamp,symbol,structure,spot_price,front_dte,back_dte,front_expiry,back_expiry,atm_strike,atm_delta,atm_ff,atm_iv_front,atm_iv_back,atm_fwd_iv,atm_iv_source_front,atm_iv_source_back,call_strike,put_strike,call_delta,put_delta,call_ff,put_ff,min_ff,combined_ff,call_front_iv,call_back_iv,call_fwd_iv,put_front_iv,put_back_iv,put_fwd_iv,iv_source_call_front,iv_source_call_back,iv_source_put_front,iv_source_put_back,earnings_conflict,earnings_date,avg_options_volume_20d,earnings_source,skip_reason
2025-10-20T07:32:14.261222+00:00,SNA,double,339.75,60,88,2025-12-19,2026-01-16,,,,,,,,,350.00,330.00,0.3749,-0.3575,0.096732,1.028406,0.096732,0.562569,0.19852,0.193121,0.18101,0.219247,0.191028,0.108088,greeks,greeks,greeks,greeks,,2025-10-16,42.87,cache,
2025-10-20T07:32:14.261222+00:00,DPZ,double,416.99,32,88,2025-11-21,2026-01-16,,,,,,,,,430.00,410.00,0.3683,-0.3977,0.052725,0.050764,0.050764,0.051744,0.263396,0.25508,0.250204,0.247253,0.239721,0.235308,greeks,greeks,greeks,greeks,,2025-10-14,757.47,cache,
2025-10-20T07:32:14.261222+00:00,DPZ,double,416.99,32,60,2025-11-21,2025-12-19,,,,,,,,,430.00,410.00,0.3683,-0.3977,0.12561,0.048616,0.048616,0.087113,0.263396,0.250109,0.234003,0.247253,0.241971,0.23579,greeks,greeks,greeks,greeks,,2025-10-14,757.47,cache,
2025-10-20T07:32:14.261222+00:00,KEY,double,16.96,60,88,2025-12-19,2026-01-16,,,,,,,,,18.00,16.00,0.3389,-0.3205,-0.002313,0.220879,-0.002313,0.109283,0.299972,0.300194,0.300668,0.357932,0.338674,0.293176,greeks,greeks,greeks,greeks,,2025-10-16,3880.11,cache,
2025-10-20T07:32:14.261222+00:00,DPZ,double,416.99,60,88,2025-12-19,2026-01-16,,,,,,,,,440.00,400.00,0.3208,-0.3212,-0.057677,0.030432,-0.057677,-0.013623,0.250109,0.25508,0.265418,0.241971,0.239721,0.234825,greeks,greeks,greeks,greeks,,2025-10-14,757.47,cache,
2025-10-20T07:32:14.261222+00:00,SNA,double,339.75,32,88,2025-11-21,2026-01-16,,,,,,,,,350.00,330.00,0.3095,-0.3084,-0.082319,0.078327,-0.082319,-0.001996,0.18254,0.193121,0.198915,0.200152,0.191028,0.185614,greeks,greeks,greeks,greeks,,2025-10-16,42.87,cache,
2025-10-20T07:32:14.261222+00:00,CFG,double,49.37,60,88,2025-12-19,2026-01-16,,,,,,,,,52.50,47.50,0.3252,-0.3608,-0.115616,0.236075,-0.115616,0.060229,0.288533,0.301047,0.326252,0.32097,0.302814,0.259669,greeks,greeks,greeks,greeks,,2025-10-15,1489.14,cache,
2025-10-20T07:32:14.261222+00:00,SNA,double,339.75,32,60,2025-11-21,2025-12-19,,,,,,,,,350.00,330.00,0.3095,-0.3084,-0.152297,-0.16328,-0.16328,-0.157789,0.18254,0.19852,0.215335,0.200152,0.219247,0.239211,greeks,greeks,greeks,greeks,,2025-10-16,42.87,cache,
2025-10-20T07:32:14.261222+00:00,CFG,atm-call,49.37,60,88,2025-12-19,2026-01-16,50.00,0.4872,0.323303,0.315987,0.293633,0.238787,greeks,greeks,,,,,,,,,0.314122,0.295741,,0.317852,0.291526,,greeks,greeks,greeks,greeks,,2025-10-15,1489.14,cache,
2025-10-20T07:32:14.261222+00:00,KEY,atm-call,16.96,32,60,2025-11-21,2025-12-19,17.00,0.5152,0.263589,0.359281,0.326453,0.284333,greeks,greeks,,,,,,,,,0.377217,0.318444,,0.341344,0.334463,,greeks,greeks,greeks,greeks,,2025-10-16,3880.11,cache,
2025-10-20T07:32:14.261222+00:00,KEY,atm-call,16.96,32,88,2025-11-21,2026-01-16,17.00,0.5152,0.256681,0.359281,0.314569,0.285896,greeks,greeks,,,,,,,,,0.377217,0.312347,,0.341344,0.31679,,greeks,greeks,greeks,greeks,,2025-10-16,3880.11,cache,
2025-10-20T07:32:14.261222+00:00,CFG,atm-call,49.37,32,88,2025-11-21,2026-01-16,50.00,0.4702,0.24561,0.333807,0.293633,0.267987,greeks,greeks,,,,,,,,,0.327094,0.295741,,0.34052,0.291526,,greeks,greeks,greeks,greeks,,2025-10-15,1489.14,cache,
2025-10-20T07:32:14.261222+00:00,SNA,atm-call,339.75,60,88,2025-12-19,2026-01-16,340.00,0.5146,0.239946,0.210492,0.19844,0.169759,greeks,greeks,,,,,,,,,0.215209,0.212281,,0.205774,0.184599,,greeks,greeks,greeks,greeks,,2025-10-16,42.87,cache,
2025-10-20T07:32:14.261222+00:00,KEY,atm-call,16.96,60,88,2025-12-19,2026-01-16,17.00,0.5193,0.135684,0.326453,0.314569,0.287451,greeks,greeks,,,,,,,,,0.318444,0.312347,,0.334463,0.31679,,greeks,greeks,greeks,greeks,,2025-10-16,3880.11,cache,
2025-10-20T07:32:14.261222+00:00,CFG,atm-call,49.37,32,60,2025-11-21,2025-12-19,50.00,0.4702,0.134226,0.333807,0.315987,0.294304,greeks,greeks,,,,,,,,,0.327094,0.314122,,0.34052,0.317852,,greeks,greeks,greeks,greeks,,2025-10-15,1489.14,cache,
2025-10-20T07:32:14.261222+00:00,DPZ,atm-call,416.99,60,88,2025-12-19,2026-01-16,420.00,0.4958,0.058935,0.249481,0.245149,0.235597,greeks,greeks,,,,,,,,,0.264366,0.263209,,0.234597,0.227089,,greeks,greeks,greeks,greeks,,2025-10-14,757.47,cache,
2025-10-20T07:32:14.261222+00:00,DPZ,atm-call,416.99,32,88,2025-11-21,2026-01-16,420.00,0.4816,0.046187,0.252175,0.245149,0.241042,greeks,greeks,,,,,,,,,0.266285,0.263209,,0.238065,0.227089,,greeks,greeks,greeks,greeks,,2025-10-14,757.47,cache,
2025-10-20T07:32:14.261222+00:00,SNA,atm-call,339.75,32,88,2025-11-21,2026-01-16,340.00,0.5085,0.029678,0.202128,0.19844,0.196302,greeks,greeks,,,,,,,,,0.210428,0.212281,,0.193828,0.184599,,greeks,greeks,greeks,greeks,,2025-10-16,42.87,cache,
